,type,image_link-href,address,toilet_name,district_name,coords,award_int
304,Dormitory,,"42A Sungei Kadut Street 1, S(729347)",Megastone Holding Dormitory,South West District,"(1.4119627, 103.7530965)",4
305,Bus Interchange,https://www.toilet.org.sg/gallery/286/3-star-toilet-bishan-bus-interchange,"514 Bishan Street 13, S(570514)",Bishan Bus Interchange,Central District,"(1.3504486, 103.8494572)",3
306,Shopping Centre,https://www.toilet.org.sg/gallery/172/4-star-toilet-depot-heights-shopping-centre,"108 Depot Road, S(100108)",Depot Height Shopping Centre,South West District,"(1.2813034, 103.8101301)",4
307,MRT Station,https://www.toilet.org.sg/gallery/303/4-star-toilet-kallang-mrt-station,"5 Sims Avenue, S(387405)",Kallang MRT Station (EW10),Central District,"(1.3114202, 103.8713119)",4
308,Coffeeshop,https://www.toilet.org.sg/gallery/50/3-star-toilet-ccmw-queens-street,"Blk 269 Queen Street, #01-236, S(180269)",CCMW Queen Street,Central District,"(1.3005734, 103.8541054)",3
309,Market & Food Centre,https://www.toilet.org.sg/gallery/34/3-star-toilet-beo-crescent-market-and-food-centre,"38A Beo Crescent, S(169982)",Beo Crescent Market & Food Centre,Central District,"(1.2889614, 103.827332)",3
310,MRT Station,https://www.toilet.org.sg/gallery/308/4-star-toilet-clark-quay-mrt-station,"10 Outram Road, S(169037)",Clark Quay MRT Station (NE5),Central District,"(1.2814265, 103.8391803)",4
311,MRT Station,https://www.toilet.org.sg/gallery/299/4-star-toilet-aljunied-mrt-station,"81 Lorong 25 Geylang, S(388310)",Aljunied MRT Station (EW9),South East District,"(1.3165977, 103.8833123)",4
312,Market & Food Centre,https://www.toilet.org.sg/gallery/162/4-star-toilet-ayer-rajah-amenity-centre,"69 Ayer Rajah Crescent, S(139961)",Ayer Rajah Amenity Centre,South West District,"(1.296167, 103.787009)",4
313,MRT Station,https://www.toilet.org.sg/gallery/87/4-star-toilet-farrer-road-mrt-station,"119, Pasir Panjang Road, S(117424)",Farrer Road MRT station,Central District,"(1.275878, 103.7915919)",4
314,MRT Station,https://www.toilet.org.sg/gallery/101/4-star-toilet-tampines-mrt,"20 Tampines Central, S(529538)",Tampines MRT Station,North East District,"(1.3535537, 103.9449445)",4
315,Government Office,https://www.toilet.org.sg/gallery/67/5-star-toilet-national-environment-agency-environment-building,"40, Scotts Road, Level 6/11/12/19/20/21, S(228231)","National Environment Agency, Environment Building",Central District,"(1.3102694, 103.8362083)",5
316,MRT Station,https://www.toilet.org.sg/gallery/124/4-star-toilet-marsiling-mrt-station,"71 Woodlands Avenue 3, S(739044)",Marsiling MRT Station,North West District,"(1.4324413, 103.7740638)",4
317,Bus Interchange,https://www.toilet.org.sg/gallery/391/4-star-toilet-punggol-bus-interchange,"70A, Punggol Place, S(828865)",Punggol Bus Interchange,North East District,"(1.4040984, 103.9022099)",4
318,Pier,https://www.toilet.org.sg/gallery/279/5-Star-Toilet-Marina-South-Pier,"31 Marina Coastal Drive, S(018988)",Marina South Pier,Central District,"(1.2708997, 103.8632543)",5
319,Market & Food Centre,https://www.toilet.org.sg/gallery/339/3-star-toilet-tekka-centre-zhu-jiao-market,"Blk 665 Buffalo Road, S(210665)",Tekka Centre Zhu Jiao Market,Central District,"(1.3063839, 103.8507014)",3
320,MRT Station,https://www.toilet.org.sg/gallery/264/4-stars-tuas-crescent-mrt-station,"90 Pioneer Road, S(639608)",Tuas Crescent MRT Station,South West District,"(1.3211893, 103.6486575)",4
321,Shopping Centre,https://www.toilet.org.sg/gallery/402/4-star-toilet-raffles-city-shopping-centre,"252 North Bridge Road, S(179103)",Raffles City Shopping Centre,Central District,"(1.2939583, 103.8526163)",4
