,type,image_link-href,address,toilet_name,district_name,coords,award_int
198,Shopping Centre,https://www.toilet.org.sg/gallery/395/3-star-toilet-ue-square-shopping-mall,"81 Clemenceau Avenue, S(239917)",UE Square Shopping Mall,Central District,"(1.2921309, 103.8425941)",3
199,Market & Food Centre,https://www.toilet.org.sg/gallery/297/4-star-toilet-jurong-west-hawker-centre,"50 Jurong West Street 61, S(648202)",Jurong West Hawker Centre,South West District,"(1.3412184, 103.6973341)",4
200,Government Office,https://www.toilet.org.sg/gallery/165/4-star-toilet-jurong-island-checkpoint,"18 Jurong Pier Road, S(619618)",Jurong Island Checkpoint,South West District,"(1.3101938, 103.7100877)",4
201,MRT Station,https://www.toilet.org.sg/gallery/144/4-star-toilet-mounbatten-mrt-station,"301 Mountbatten Road, S(398006)",Mountbatten MRT Station,South East District,"(1.30664, 103.8830992)",4
202,Government Office,https://www.toilet.org.sg/gallery/377/5-star-toilet-heartbeat-bedok,"11 Bedok North Stree 1, S(469662)",Heartbeat@Bedok,South East District,"(1.3269753, 103.9321493)",5
203,Shopping Centre,https://www.toilet.org.sg/gallery/113/5-star-toilet-tampines-one,"10, Tampines Central 1, S(529536)",Tampines One,North East District,"(1.354212, 103.9450352)",5
204,Market & Food Centre,https://www.toilet.org.sg/gallery/24/4-star-toilet-newton-food-centre,"500 Clemenceau Ave North, S(229495)",Newton Food Centre,Central District,"(1.3119097, 103.8393033)",4
205,Market & Food Centre,https://www.toilet.org.sg/gallery/371/4-star-toilet-bendemeer-market-and-food-centre,"Blk 29 Bendemeer Road, S(330029)",Bendemeer Market & Food Centre,Central District,"(1.3193373, 103.8630249)",4
206,Shopping Centre,https://www.toilet.org.sg/gallery/118/4-star-toilet-tampines-central-community-complex,"Blk 886A, Tampines Street 83, S(521866)",Tampines Central Community Complex,North East District,"(1.3519075, 103.9322995)",4
207,Industrial Complex,https://www.toilet.org.sg/gallery/408/4-star-toilet-medtech-hub,"2 Tukang Innovation Grove, S(618305)",MedTech Hub,South West District,"(1.3251773, 103.7103665)",4
208,Market & Food Centre,https://www.toilet.org.sg/gallery/37/4-star-toilet-commonwealth-crescent-market,"31 Commonwealth Crescent, S(149644)",Commonwealth Crescent Market,Central District,"(1.306959, 103.8003444)",4
209,Market & Food Centre,https://www.toilet.org.sg/gallery/155/4-star-toilet-jurong-port-food-centre,"29A Jurong Port Road, S(619112)",Jurong Port Road Food Centre,South West District,"(1.3157359, 103.7202072)",4
210,MRT Station,https://www.toilet.org.sg/gallery/353/4-star-toilet-queenstown-mrt-station-ew19,"301 Commonwealth Avenue, S(149729)",Queenstown MRT Station (EW19),Central District,"(1.2940655, 103.8061569)",4
211,Market & Food Centre,https://www.toilet.org.sg/gallery/278/5-Star-Toilet-Pasir-Ris-Central-Hawker-Centre,"110 Pasir Ris Central, S(519641)",Pasir Ris Central Hawker Centre,North East District,"(1.3735776, 103.9514715)",5
212,MRT Station,https://www.toilet.org.sg/gallery/247/4-stars-chinatown-mrt-station-dt19,"91 Upper Cross Street, S(058362)",Chinatown MRT Station (DT19),Central District,"(1.2853458, 103.843936)",4
213,Tourist Attraction,https://www.toilet.org.sg/gallery/241/5-stars-sentosa-silosa-beach-east,"Siloso Beach Walk, S(098997)",Sentosa Silosa Beach (East),Central District,"(1.2540283, 103.8148433)",5
214,Shopping Centre,https://www.toilet.org.sg/gallery/128/4-star-toilet-admiralty-place,"Blk 678 Woodlands Avenue 6, S(730678)",Admiralty Place,North West District,"(1.4399252, 103.8013857)",4
215,Bus Interchange,https://www.toilet.org.sg/gallery/294/3-star-toilet-tampines-concourse-bus-interchange,"11 Tampines Concourse, S(529543)",Tampines Concourse Bus Interchange,North East District,"(1.356359, 103.940956)",3
216,MRT Station,https://www.toilet.org.sg/gallery/271/4-star-toilet-kaki-bukit-mrt-station-dt28,"30 Kaki Bukit Avenue 1, S(415804)",Kaki Bukit MRT Station (DT28),North East District,"(1.33529, 103.9091087)",4
217,MRT Station,https://www.toilet.org.sg/gallery/75/4-star-toilet-promenade-mrt-station,"2 Tamasek Avenue, S(039193)",Promenade MRT Station,Central District,"(1.2924504, 103.8604405)",4
218,Tourist Attraction,https://www.toilet.org.sg/gallery/57/5-star-toilet-merlion-park-fullerton,"1 Fullerton Road, S(049178)",Merlion Park@Fullerton,Central District,"(1.2858493, 103.8532844)",5
219,MRT Station,https://www.toilet.org.sg/gallery/244/4-stars-bugis-mrt-station-dt14,"220 Voctoria Street, S(188022)",Bugis MRT Station (DT14),Central District,"(1.2998067, 103.855754)",4
220,MRT Station,https://www.toilet.org.sg/gallery/123/4-star-toilet-woodlands-mrt-station,"30 Woodlands Avenue, S(738343)",Woodlands MRT Station,North West District,"(1.437284, 103.787152)",4
221,Place of worship,https://www.toilet.org.sg/gallery/95/4-star-toilet-al-istighfar-mosque,"2 Pasir Ris Walk, S(518239)",Al - Istighfar Mosque,North East District,"(1.371115, 103.964096)",4
222,Shopping Centre,https://www.toilet.org.sg/gallery/129/3-star-toilet-fajar-shopping-centre,"445 Fajar Road, Level 1 & 2, S(670445)",Fajar Shopping Centre,North West District,"(1.383602, 103.7710299)",3
223,MRT Station,https://www.toilet.org.sg/gallery/321/4-star-toilet-king-albert-mrt-station-dt6,"2 Blackmore Drive, S(599987)",King Albert MRT Station (DT6),North West District,"(1.3357361, 103.7830238)",4
224,MRT Station,https://www.toilet.org.sg/gallery/329/4-star-toilet-sixth-avenue-mrt-station-dt7,"777 Bukit Timah Road, S(269784)",Sixth Avenue MRT Station (DT7),North West District,"(1.3308446, 103.7975831)",4
225,MRT Station,https://www.toilet.org.sg/gallery/249/4-stars-tampines-mrt-station-dt32,"20 Tampines Central, S(529538)",Tampines MRT Station (DT32),North East District,"(1.3535537, 103.9449445)",4
226,Private Office,https://www.toilet.org.sg/gallery/74/4-star-toilet-palais-renaissance-private-office,"390, Orchard Road, Level 4-16, S(238871)",Palais Renaissance,Central District,"(1.3066492, 103.8295057)",5
227,Foodcourt,https://www.toilet.org.sg/gallery/53/3-star-toilet-ntuc-foodfare-clifford-centre-food-emporium,"Clifford Centre, 24 Raffles Place, S(048621)",NTUC Foodfare Court@Clifford Centre,Central District,"(1.2838533, 103.8519697)",3
228,Shopping Centre,https://www.toilet.org.sg/gallery/393/6-star-toilet-suntec-city-mall,"3, Temasek Blvd., S(038983)",Suntec City Mall,Central District,"(1.2960707, 103.8589791)",6
229,Shopping Centre,https://www.toilet.org.sg/gallery/154/5-star-toilet-joo-chiat-complex,"1 Joo Chiat Road, S(420001)",Joo Chiat Complex,South East District,"(1.3157105, 103.8988136)",4
230,MRT Station,https://www.toilet.org.sg/gallery/343/4-star-toilet-boon-lay-mrt-station-ew-27,"301 Boon Lay Way, S(649846)",Boon Lay MRT Station (EW27),South West District,"(1.3383863, 103.7058398)",4
231,Market & Food Centre,https://www.toilet.org.sg/gallery/33/3-star-toilet-bukit-timah-market-and-food-centre,"51 Upper Bukit Timah Road, S(588215)",Bukit Timah Market & Food Centre,Central District,"(1.3394498, 103.7760782)",3
232,MRT Station,https://www.toilet.org.sg/gallery/122/4-star-toilet-kranji-mrt-station,"960 Woodlands Road, S(738702)",Kranji MRT Station,North West District,"(1.4250037, 103.762072)",4
233,MRT Station,https://www.toilet.org.sg/gallery/198/4-star-toilet-labrador-park-mrt-station,"100, Cluny Park Road, S(257494)",Labrador Park MRT station,South West District,"(1.3222145, 103.8145958)",4
234,MRT Station,https://www.toilet.org.sg/gallery/332/4-star-toilet-tan-kah-kee-mrt-station-dt8,"651 Bukit Timah Road, S(266268)",Tan Kah Kee MRT Station (DT8),North West District,"(1.3257419, 103.8079284)",4
