,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
273,1647935913-3721,https://www.toilet.org.sg/loomapdirectory,MRT Station,HarbourFront MRT Station (NE1),https://www.toilet.org.sg/gallery/306/4-star-toilet-harbourfront-mrt-station-ne1,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","81 Telok Blangah Road, S(098867)",HarbourFront MRT Station (NE1),Central District,"(1.2655352, 103.8212226)"
274,1647935913-3763,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Robertson Walk,https://www.toilet.org.sg/gallery/41/4-star-toilet-robertson-walk,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","11, Unity Street, #02-20A, S(237995)",Robertson Walk,Central District,"(1.2919896, 103.8416883)"
275,1647935913-3953,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Greenridge Shopping Centre,https://www.toilet.org.sg/gallery/266/5-stars-greenridge-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","524A Jelapang Road, S(671524)",Greenridge Shopping Centre,South West District,"(1.3853755, 103.7663006)"
276,1647935913-3724,https://www.toilet.org.sg/loomapdirectory,MRT Station,"Jalan Besar MRT Station, B1 (DT22)",https://www.toilet.org.sg/gallery/277/4-Star-Toilet-Jalan-Besar-MRT-Station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","35B Jalan Besar, S(208800)","Jalan Besar MRT Station, B1 (DT22)",Central District,"(1.304248, 103.8546483)"
277,1647935913-3924,https://www.toilet.org.sg/loomapdirectory,MRT Station,Bukit Batok MRT Station (N2),https://www.toilet.org.sg/gallery/372/4-star-toilet-bukit-batok-mrt-station-n2,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Bukit Batok Central, S(659958)",Bukit Batok MRT Station (N2),South West District,"(1.3490579, 103.7496251)"
278,1647935913-3801,https://www.toilet.org.sg/loomapdirectory,MRT Station,Eunos MRT Station,https://www.toilet.org.sg/gallery/98/4-star-toilet-eunos-mrt,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","30 Eunos Crescent, S(409423)",Eunos MRT Station,North East District,"(1.3196998, 103.902894)"
279,1647935913-3702,https://www.toilet.org.sg/loomapdirectory,MRT Station,Botanic Gardens MRT station,https://www.toilet.org.sg/gallery/85/4-star-toilet-botanic-gardens-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","701, Telok Blangah Road, S(109029)",Botanic Gardens MRT station,Central District,"(1.272255, 103.803149)"
280,1647935913-3815,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Century Square,https://www.toilet.org.sg/gallery/114/4-star-toilet-century-square,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","2 Tampines Central 5, S(529509)",Century Square,North East District,"(1.3523888, 103.9438567)"
281,1647935913-3732,https://www.toilet.org.sg/loomapdirectory,MRT Station,Mayflower MRT Station (TE6),https://www.toilet.org.sg/gallery/419/4-Star-Toilet-Mayflower-Mrt-Station-TE-6-,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","91 Ang Mo Kio Avenue 4, S(569900)",Mayflower MRT Station (TE6),Central District,"(1.3718506, 103.8368686)"
282,1647935913-3832,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Bukit Panjang Hawker Centre,https://www.toilet.org.sg/gallery/125/4-star-toilet-bukit-panjang-hawker-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","259 Bukit Panjang Ring Road, S(671259)",Bukit Panjang Hawker Centre,North West District,"(1.3773085, 103.7730453)"
283,1647935913-3704,https://www.toilet.org.sg/loomapdirectory,MRT Station,Bras Basah MRT Station,https://www.toilet.org.sg/gallery/365/5-star-toilet-bras-basah-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","65 Bras Basah Road, S(189561)",Bras Basah MRT Station,Central District,
284,1647935913-3894,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Boon Lay Bus Interchange,https://www.toilet.org.sg/gallery/301/3-star-toilet-boon-lay-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","87 Jurong West Central 3, S(648343)",Boon Lay Bus Interchange,South West District,"(1.3401005, 103.7056632)"
285,1647935913-3694,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Zion Riverside Food Centre,https://www.toilet.org.sg/gallery/410/5-star-toilet-zion-riverside-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","70 Zion Road, S(247792)",Zion Riverside Food Centre,Central District,"(1.2924504, 103.831136)"
286,1647935913-3682,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Maxwell Food Centre,https://www.toilet.org.sg/gallery/26/4-star-toilet-maxwell-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Kadayanallur Street, S(069184)",Maxwell Food Centre,Central District,"(1.2802419, 103.8449058)"
287,1647935913-3737,https://www.toilet.org.sg/loomapdirectory,MRT Station,Outram MRT Station,https://www.toilet.org.sg/gallery/92/4-star-toilet-outram-park-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Outram Road, S(169037)",Outram MRT Station,Central District,"(1.2814265, 103.8391803)"
288,1647935913-3834,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Yishun Park Hawker Centre,https://www.toilet.org.sg/gallery/268/4-stars-yishun-park-hawker-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","51 Yishun Avenue 11, S(768867)",Yishun Park Hawker Centre,North West District,"(1.4249457, 103.8447228)"
289,1647935913-3807,https://www.toilet.org.sg/loomapdirectory,MRT Station,Punggol MRT Station-NE17,https://www.toilet.org.sg/gallery/298/5-star-toilet-punggol-mrt-station-ne17,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Punggol Central, S(828868)",Punggol MRT Station-NE17,North East District,"(1.4064702, 103.8994441)"
290,1647935913-3945,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tuas West MRT Station,https://www.toilet.org.sg/gallery/262/4-stars-tuas-west-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","131, Pioneer Road, S(639609)",Tuas West MRT Station,South West District,"(1.3291552, 103.6403309)"
291,1647935913-3650,https://www.toilet.org.sg/loomapdirectory,Coffeeshop,CCMW,https://www.toilet.org.sg/gallery/49/3-star-toilet-ccmw-cantoment-road,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 1 Cantonment Road, S(080001)",CCMW,Central District,"(1.2756629, 103.8412706)"
292,1647935913-3954,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Jurong Point Shopping Centre,https://www.toilet.org.sg/gallery/169/5-star-toilet-jurong-point-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Jurong West Central 2, #03-07, Jurong Point Shopping Centre, S(648886)",Jurong Point Shopping Centre,South West District,"(1.3399257, 103.7062886)"
293,1647935913-3715,https://www.toilet.org.sg/loomapdirectory,MRT Station,Downtown MRT Station (DT17),https://www.toilet.org.sg/gallery/246/4-stars-downtown-mrt-station-dt17,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","15 Central Boulevard, S(018969)",Downtown MRT Station (DT17),Central District,"(1.2792813, 103.8527634)"
294,1647935913-3728,https://www.toilet.org.sg/loomapdirectory,MRT Station,Little India MRT Station (NE7),https://www.toilet.org.sg/gallery/355/3-star-toilet-little-india-mrt-station-ne7,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","60 Bukit Timah Road, S(229900)",Little India MRT Station (NE7),Central District,"(1.3068697, 103.849474)"
295,1647935913-3877,https://www.toilet.org.sg/loomapdirectory,MRT Station,Macpherson MRT Station (DT26),https://www.toilet.org.sg/gallery/272/4-star-toilet-macpherson-mrt-station-dt26,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Circuit Link, S(378956)",Macpherson MRT Station (DT26),South East District,"(1.3262687, 103.8891872)"
296,1647935913-3727,https://www.toilet.org.sg/loomapdirectory,MRT Station,Little India MRT Station (DT12),https://www.toilet.org.sg/gallery/323/4-star-toilet-little-india-mrt-station-dt12,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","60 Bukit Timah Road, S(229900)",Little India MRT Station (DT12),Central District,"(1.3068697, 103.849474)"
297,1647935913-3648,https://www.toilet.org.sg/loomapdirectory,Club,Seletar Country Club,https://www.toilet.org.sg/gallery/267/5-stars-seletar-country-club,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","101 Seletar Club Road, S(798273)",Seletar Country Club,Central District,"(1.4096081, 103.8581298)"
298,1647935913-3887,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tai Seng MRT Station CC11,https://www.toilet.org.sg/gallery/260/4-stars-tai-seng-mrt-station-cc11,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","33 Upper Paya Lebar Rd, S(534803)",Tai Seng MRT Station CC11,South East District,"(1.3347248, 103.8881417)"
299,1647935913-3792,https://www.toilet.org.sg/loomapdirectory,Coffeeshop,,,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 820, Tampines Street 81, #01-501, S(520820)",CCMW Tampines Street 81,North East District,"(1.3479324, 103.9361065)"
300,1647935913-3892,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,PLQ Mall,https://www.toilet.org.sg/gallery/413/5-Star-Toilet-PLQ-Mall,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Paya Lebar Road, S(409057)",PLQ Mall,South East District,"(1.3173198, 103.892442)"
301,1647935913-3899,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Jurong East Bus Interchange,https://www.toilet.org.sg/gallery/405/5-star-toilet-jurong-east-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","17A Jurong Gateway Road, S(608513)",Jurong East Bus Interchange,South West District,"(1.3343737, 103.7405641)"
302,1647935913-3672,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Blk 1 Jalan Kukoh Hawker Centre,https://www.toilet.org.sg/gallery/381/3-star-toilet-blk-1-jalan-kukoh-hawker-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Jalan Kukoh, S(161001)",Blk 1 Jalan Kukoh Hawker Centre,Central District,
303,1647935913-3900,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Tuas Bus Terminal,https://www.toilet.org.sg/gallery/295/4-star-toilet-tuas-bus-terminal,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Tuas West Drive, S(638410)",Tuas Bus Terminal,South West District,"(1.345011, 103.639114)"
304,1647935913-3903,https://www.toilet.org.sg/loomapdirectory,Dormitory,,,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","42A Sungei Kadut Street 1, S(729347)",Megastone Holding Dormitory,South West District,"(1.4119627, 103.7530965)"
305,1647935913-3640,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Bishan Bus Interchange,https://www.toilet.org.sg/gallery/286/3-star-toilet-bishan-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","514 Bishan Street 13, S(570514)",Bishan Bus Interchange,Central District,"(1.3504486, 103.8494572)"
306,1647935913-3950,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Depot Height Shopping Centre,https://www.toilet.org.sg/gallery/172/4-star-toilet-depot-heights-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","108 Depot Road, S(100108)",Depot Height Shopping Centre,South West District,"(1.2813034, 103.8101301)"
307,1647935913-3725,https://www.toilet.org.sg/loomapdirectory,MRT Station,Kallang MRT Station (EW10),https://www.toilet.org.sg/gallery/303/4-star-toilet-kallang-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","5 Sims Avenue, S(387405)",Kallang MRT Station (EW10),Central District,"(1.3114202, 103.8713119)"
308,1647935913-3651,https://www.toilet.org.sg/loomapdirectory,Coffeeshop,CCMW Queen Street,https://www.toilet.org.sg/gallery/50/3-star-toilet-ccmw-queens-street,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 269 Queen Street, #01-236, S(180269)",CCMW Queen Street,Central District,"(1.3005734, 103.8541054)"
309,1647935913-3670,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Beo Crescent Market & Food Centre,https://www.toilet.org.sg/gallery/34/3-star-toilet-beo-crescent-market-and-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","38A Beo Crescent, S(169982)",Beo Crescent Market & Food Centre,Central District,"(1.2889614, 103.827332)"
310,1647935913-3711,https://www.toilet.org.sg/loomapdirectory,MRT Station,Clark Quay MRT Station (NE5),https://www.toilet.org.sg/gallery/308/4-star-toilet-clark-quay-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Outram Road, S(169037)",Clark Quay MRT Station (NE5),Central District,"(1.2814265, 103.8391803)"
311,1647935913-3870,https://www.toilet.org.sg/loomapdirectory,MRT Station,Aljunied MRT Station (EW9),https://www.toilet.org.sg/gallery/299/4-star-toilet-aljunied-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","81 Lorong 25 Geylang, S(388310)",Aljunied MRT Station (EW9),South East District,"(1.3165977, 103.8833123)"
312,1647935913-3916,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Ayer Rajah Amenity Centre,https://www.toilet.org.sg/gallery/162/4-star-toilet-ayer-rajah-amenity-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","69 Ayer Rajah Crescent, S(139961)",Ayer Rajah Amenity Centre,South West District,"(1.296167, 103.787009)"
313,1647935913-3718,https://www.toilet.org.sg/loomapdirectory,MRT Station,Farrer Road MRT station,https://www.toilet.org.sg/gallery/87/4-star-toilet-farrer-road-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","119, Pasir Panjang Road, S(117424)",Farrer Road MRT station,Central District,"(1.275878, 103.7915919)"
314,1647935913-3810,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tampines MRT Station,https://www.toilet.org.sg/gallery/101/4-star-toilet-tampines-mrt,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","20 Tampines Central, S(529538)",Tampines MRT Station,North East District,"(1.3535537, 103.9449445)"
315,1647935913-3658,https://www.toilet.org.sg/loomapdirectory,Government Office,"National Environment Agency, Environment Building",https://www.toilet.org.sg/gallery/67/5-star-toilet-national-environment-agency-environment-building,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","40, Scotts Road, Level 6/11/12/19/20/21, S(228231)","National Environment Agency, Environment Building",Central District,"(1.3102694, 103.8362083)"
316,1647935913-3842,https://www.toilet.org.sg/loomapdirectory,MRT Station,Marsiling MRT Station,https://www.toilet.org.sg/gallery/124/4-star-toilet-marsiling-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","71 Woodlands Avenue 3, S(739044)",Marsiling MRT Station,North West District,"(1.4324413, 103.7740638)"
317,1647935913-3786,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Punggol Bus Interchange,https://www.toilet.org.sg/gallery/391/4-star-toilet-punggol-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","70A, Punggol Place, S(828865)",Punggol Bus Interchange,North East District,"(1.4040984, 103.9022099)"
318,1647935913-3751,https://www.toilet.org.sg/loomapdirectory,Pier,Marina South Pier,https://www.toilet.org.sg/gallery/279/5-Star-Toilet-Marina-South-Pier,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","31 Marina Coastal Drive, S(018988)",Marina South Pier,Central District,"(1.2708997, 103.8632543)"
319,1647935913-3689,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Tekka Centre Zhu Jiao Market,https://www.toilet.org.sg/gallery/339/3-star-toilet-tekka-centre-zhu-jiao-market,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 665 Buffalo Road, S(210665)",Tekka Centre Zhu Jiao Market,Central District,
320,1647935913-3943,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tuas Crescent MRT Station,https://www.toilet.org.sg/gallery/264/4-stars-tuas-crescent-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","90 Pioneer Road, S(639608)",Tuas Crescent MRT Station,South West District,"(1.3211893, 103.6486575)"
321,1647935913-3762,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Raffles City Shopping Centre,https://www.toilet.org.sg/gallery/402/4-star-toilet-raffles-city-shopping-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","252 North Bridge Road, S(179103)",Raffles City Shopping Centre,Central District,
