,web-scraper-order,web-scraper-start-url,type,image_link,image_link-href,award,address,toilet_name,district_name,coords
229,1647935913-3891,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,Joo Chiat Complex,https://www.toilet.org.sg/gallery/154/5-star-toilet-joo-chiat-complex,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","1 Joo Chiat Road, S(420001)",Joo Chiat Complex,South East District,"(1.3157105, 103.8988136)"
230,1647935913-3923,https://www.toilet.org.sg/loomapdirectory,MRT Station,Boon Lay MRT Station (EW27),https://www.toilet.org.sg/gallery/343/4-star-toilet-boon-lay-mrt-station-ew-27,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","301 Boon Lay Way, S(649846)",Boon Lay MRT Station (EW27),South West District,"(1.3383863, 103.7058398)"
231,1647935913-3674,https://www.toilet.org.sg/loomapdirectory,Market & Food Centre,Bukit Timah Market & Food Centre,https://www.toilet.org.sg/gallery/33/3-star-toilet-bukit-timah-market-and-food-centre,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","51 Upper Bukit Timah Road, S(588215)",Bukit Timah Market & Food Centre,Central District,"(1.3394498, 103.7760782)"
232,1647935913-3841,https://www.toilet.org.sg/loomapdirectory,MRT Station,Kranji MRT Station,https://www.toilet.org.sg/gallery/122/4-star-toilet-kranji-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","960 Woodlands Road, S(738702)",Kranji MRT Station,North West District,"(1.4250037, 103.762072)"
233,1647935913-3937,https://www.toilet.org.sg/loomapdirectory,MRT Station,Labrador Park MRT station,https://www.toilet.org.sg/gallery/198/4-star-toilet-labrador-park-mrt-station,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","100, Cluny Park Road, S(257494)",Labrador Park MRT station,South West District,"(1.3222145, 103.8145958)"
234,1647935913-3846,https://www.toilet.org.sg/loomapdirectory,MRT Station,Tan Kah Kee MRT Station (DT8),https://www.toilet.org.sg/gallery/332/4-star-toilet-tan-kah-kee-mrt-station-dt8,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","651 Bukit Timah Road, S(266268)",Tan Kah Kee MRT Station (DT8),North West District,"(1.3257419, 103.8079284)"
235,1647935913-3935,https://www.toilet.org.sg/loomapdirectory,MRT Station,Jurong East MRT Station (EW24),https://www.toilet.org.sg/gallery/350/4-star-toilet-jurong-east-mrt-station-ew24,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","10 Jurong East Street 12, S(609690)",Jurong East MRT Station (EW24),South West District,"(1.3335109, 103.742022)"
236,1647935913-3644,https://www.toilet.org.sg/loomapdirectory,Bus Interchange,Queens Street Bus Terminal,https://www.toilet.org.sg/gallery/313/3-star-toilet-queens-street-bus-interchange,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Queens Street Bus Terminal, S(884001)",Queens Street Bus Terminal,Central District,"(1.303537, 103.8567355)"
237,1647935913-3853,https://www.toilet.org.sg/loomapdirectory,Shopping Centre,888 Plaza,https://www.toilet.org.sg/gallery/131/4-star-toilet-888-plaza,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Blk 888, Woodlands Drive 50, S(731888)",888 Plaza,North West District,"(1.4377241, 103.7952735)"
238,1647935913-3782,https://www.toilet.org.sg/loomapdirectory,Tourist Attraction,Sentosa Wings of Time,https://www.toilet.org.sg/gallery/61/5-star-toilet-sentosa-wings-of-time,"<font color=""#F7C709""><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i><i class=""fa fa-star""></i></font>","Wings of Time, Sentosa, S(099538)",Sentosa Wings of Time,Central District,"(1.2509413, 103.8173405)"
